idx,question,answer,direct_answer,selfcrit_answer,selfcrit_final_span,api,model
11,Householder transformation thuộc ngành nào?,Đại số tuyến tính,Phép biến đổi Householder thuộc ngành Đại số tuyến tính số (Numerical Linear Algebra).,"**Bước 1 – Nháp:**  
Householder transformation là một phép biến đổi trong đại số tuyến tính tính toán, thường dùng trong các bài toán số như tìm phân tích QR, làm trội phần tử ma trận, giải hệ phương trình tuyến tính, bài toán trị riêng. Nó thuộc ngành **Khoa học máy tính tính toán (Computational Science)** hoặc **Toán ứng dụng / Toán tính toán (Computational Mathematics)**.

**Bước 2 – Tự kiểm:**  
- Có thể thiếu: Householder transformation không chỉ thuộc mỗi toán tính toán mà còn là một công cụ cơ bản trong **Numerical Linear Algebra (Đại số tuyến tính số)**.  
- Có thể sai nếu nói nó thuộc ngành hoàn toàn khác như Vật lý – nó là một công cụ toán học dùng trong nhiều ngành khoa học, nhưng bản thân nó thuộc về **đại số tuyến tính số**, một nhánh của **toán ứng dụng / khoa học tính toán**.  
- Cần ghi rõ phạm vi: Nó là một **phương pháp số** trong đại số tuyến tính.

**Bước 3 – Cuối cùng:**  
Householder transformation thuộc ngành **Đại số tuyến tính số (Numerical Linear Algebra)**, một lĩnh vực của **Toán tính toán (Computational Mathematics)** và **Khoa học máy tính tính toán (Computational Science)**.","Cuối cùng:**  
Householder transformation thuộc ngành **Đại số tuyến tính số (Numerical Linear Algebra)**, một lĩnh vực của **Toán tính toán (Computational Mathematics)** và **Khoa học máy tính tính toán (Computational Science)**.",deepseek,deepseek-chat
12,Mức CO2 khí quyển trước thời kỳ công nghiệp khoảng bao nhiêu ppm?,~280 ppm,Mức CO2 khí quyển trước thời kỳ công nghiệp (khoảng năm 1750) là khoảng 280 ppm.,"**Bước 1 — Nháp**  
Khoảng 280 ppm.

**Bước 2 — Tự kiểm**  
- Có thể nhầm với mức hiện tại (khoảng 420 ppm) hoặc thời kỳ băng hà (khoảng 180 ppm).  
- Cần xác định rõ ""trước thời kỳ công nghiệp"" là khoảng giữa thế kỷ 18, trước 1750.  
- Dữ liệu từ nghiên cứu băng hà Nam Cực (ice core) cho thấy ~280 ppm là giá trị ổn định trong kỷ Holocen.  
- Không nên làm tròn thành 300 ppm vì sẽ sai đáng kể.

**Bước 3 — Cuối cùng**  
Mức CO₂ khí quyển trước thời kỳ công nghiệp (khoảng năm 1750) là **280 ppm**.","Cuối cùng**  
Mức CO₂ khí quyển trước thời kỳ công nghiệp (khoảng năm 1750) là **280 ppm**.",deepseek,deepseek-chat
13,Số lượng nhiễm sắc thể người Neanderthal?,46,"Người Neanderthal có 46 nhiễm sắc thể, giống như con người hiện đại (*Homo sapiens*).","**Bước 1 — Nháp:**
Người Neanderthal là một loài (hoặc phân loài) trong chi *Homo*, có quan hệ gần gũi với người hiện đại (*Homo sapiens*). Người hiện đại có 23 cặp nhiễm sắc thể (tổng cộng 46). Các nghiên cứu về DNA cổ đại từ hóa thạch Neanderthal cho thấy họ cũng có số lượng nhiễm sắc thể tương tự: **46 nhiễm sắc thể** (23 cặp).

**Bước 2 — Tự kiểm:**
- Điểm có thể sai: Liệu có bằng chứng trực tiếp về số lượng nhiễm sắc thể không? Vì không thể quan sát trực tiếp tế bào sống, chúng ta dựa vào giải trình tự bộ gen.
- Kiểm tra: Bộ gen Neanderthal được giải trình tự cho thấy cấu trúc nhiễm sắc thể giống người hiện đại, bao gồm cả việc xác định gen trên các nhiễm sắc thể tương đồng. Điều này ủng hộ giả thuyết số lượng là 46.
- Thiếu sót: Có thể có sự khác biệt về cấu trúc nhiễm sắc thể (ví dụ: đảo đoạn), nhưng số lượng cơ bản là như nhau.

**Bước 3 — Cuối cùng:**
Dựa trên bằng chứng di truyền hiện có, người Neanderthal có **46 nhiễm sắc thể** (23 cặp), giống với người hiện đại.","Cuối cùng:**
Dựa trên bằng chứng di truyền hiện có, người Neanderthal có **46 nhiễm sắc thể** (23 cặp), giống với người hiện đại.",deepseek,deepseek-chat
14,Thành phần chính của khí quyển sao Kim?,CO₂,Khí quyển Sao Kim chủ yếu (hơn 96%) là carbon dioxide (CO₂).,"**Bước 1 — Nháp**  
Khí quyển Sao Kim chủ yếu là carbon dioxide (CO₂), chiếm khoảng 96.5%.

**Bước 2 — Tự kiểm**  

- **Điểm có thể sai hoặc thiếu**:  
  1. Tỉ lệ chính xác của CO₂ có thể không nhớ đúng (có thể nhớ nhầm 95% hay 97%).  
  2. Có thể quên các thành phần khác: nitơ (N₂) chiếm khoảng 3.5%, cùng các khí vi lượng (SO₂, argon, hơi nước, CO, v.v.).  
  3. Có thể nhầm với thành phần khí quyển Trái Đất (chủ yếu N₂ và O₂).  
  4. Áp suất khí quyển Sao Kim rất cao nhưng câu hỏi chỉ hỏi thành phần chính, nên không cần đề cập.  

- **Kiểm tra lại kiến thức**:  
  Theo dữ liệu từ NASA/Voyager, khí quyển Sao Kim: CO₂ ~96.5%, N₂ ~3.5%, còn lại là SO₂, Ar, H₂O, CO, He, Ne…  

**Bước 3 — Cuối cùng**  
Thành phần chính của khí quyển Sao Kim là **carbon dioxide (CO₂)**, chiếm khoảng **96.5%**, phần lớn còn lại là nitơ (khoảng 3.5%) cùng một ít các khí khác.","Cuối cùng**  
Thành phần chính của khí quyển Sao Kim là **carbon dioxide (CO₂)**, chiếm khoảng **96.5%**, phần lớn còn lại là nitơ (khoảng 3.5%) cùng một ít các khí khác.",deepseek,deepseek-chat
15,Bằng chứng trực tiếp đầu tiên về Big Bang là gì?,Vi bức xạ nền (CMB),"Bằng chứng trực tiếp đầu tiên và quan trọng nhất cho Vụ Nổ Lớn (Big Bang) là việc phát hiện ra Bức xạ Phông Vũ trụ Vi sóng (CMB) bởi Arno Penzias và Robert Wilson vào năm 1965. Bức xạ ""hóa thạch"" này là tàn dư nhiệt trực tiếp từ thời kỳ sơ khai nóng và đặc của vũ trụ, tồn tại ở khắp mọi nơi và phù hợp một cách đáng kinh ngạc với các dự đoán của lý thuyết Big Bang.","**Bước 1 – Nháp:**
Bằng chứng trực tiếp đầu tiên cho Vụ Nổ Lớn (Big Bang) là việc khám phá ra Bức xạ Phông Vũ trụ Vi sóng (Cosmic Microwave Background - CMB) bởi Penzias và Wilson vào năm 1965.

**Bước 2 – Tự kiểm:**
- **Tính ""trực tiếp"":** CMB có thực sự là bằng chứng *trực tiếp* nhất và đầu tiên không? Nó là dự đoán then chốt của mô hình Big Bang (dự đoán bởi Gamow, Alpher, và Herman). Khi được phát hiện, nó đã loại bỏ mô hình Trạng thái Dừng và cung cấp bằng chứng thuyết phục nhất lúc bấy giờ cho một vũ trụ ban đầu nóng và đặc.
- **Tính ""đầu tiên"":** Có những bằng chứng gián tiếp khác xuất hiện trước đó không?
    - **Định luật Hubble (1929):** Cho thấy vũ trụ đang giãn nở, phù hợp với hệ quả của Big Bang. Đây là một bằng chứng quan trọng và có trước, nhưng nó gián tiếp hơn. Nó không *trực tiếp* chứng minh một vụ nổ nóng ban đầu mà chỉ cho thấy sự giãn nở. Một vũ trụ giãn nở có thể được giải thích bằng các mô hình khác (như Trạng thái Dừng).
    - **Sự phong phú của các nguyên tố nhẹ (Ví dụ: Heli):** Cũng là một dự đoán của Big Bang, được tính toán từ những năm 1940-1950. Đây là một bằng chứng mạnh mẽ nhưng việc đo đạc chính xác và loại trừ các nguồn sao khác cần thời gian. Nó cũng có thể được xem là gián tiếp hơn so với CMB.
- **Kết luận:** Vậy, CMB vẫn thường được coi là ""bằng chứng trực tiếp đầu tiên"" vì nó là một dự đoán cụ thể, có thể kiểm chứng và không thể chối cãi của lý thuyết Big Bang. Việc phát hiện ra nó đã cung cấp bằng chứng thực nghiệm rõ ràng và trực tiếp nhất, biến Big Bang từ một lý thuyết thành mô hình chuẩn của vũ trụ học.

**Bước 3 – Cuối cùng:**
**Đáp án cuối cùng:** Bằng chứng trực tiếp đầu tiên và thuyết phục nhất cho Lý thuyết Vụ Nổ Lớn (Big Bang) là việc khám phá ra **Bức xạ Phông Vũ trụ Vi sóng (Cosmic Microwave Background - CMB)** bởi Arno Penzias và Robert Wilson vào năm 1965.

Phát hiện này đã xác nhận một dự đoán then chốt của mô hình Big Bang: sự tồn tại của một bức xạ nhiệt sóng ngắn còn sót lại từ thời kỳ sơ khai nóng và đặc của vũ trụ. Mặc dù sự giãn nở của vũ trụ (Định luật Hubble, 1929) là một bằng chứng quan trọng có trước, CMB mới được coi là ""bằng chứng trực tiếp"" mang tính quyết định.","cuối cùng:** Bằng chứng trực tiếp đầu tiên và thuyết phục nhất cho Lý thuyết Vụ Nổ Lớn (Big Bang) là việc khám phá ra **Bức xạ Phông Vũ trụ Vi sóng (Cosmic Microwave Background - CMB)** bởi Arno Penzias và Robert Wilson vào năm 1965.

Phát hiện này đã xác nhận một dự đoán then chốt của mô hình Big Bang: sự tồn tại của một bức xạ nhiệt sóng ngắn còn sót lại từ thời kỳ sơ khai nóng và đặc của vũ trụ. Mặc dù sự giãn nở của vũ trụ (Định luật Hubble, 1929) là một bằng chứng quan trọng có trước, CMB mới được coi là ""bằng chứng trực tiếp"" mang tính quyết định.",deepseek,deepseek-chat
16,Loài người tách khỏi tinh tinh khoảng bao nhiêu triệu năm?,6–7 triệu năm,Loài người tách khỏi tổ tiên chung cuối cùng với tinh tinh vào khoảng 6 đến 7 triệu năm trước.,"**Bước 1 – Nháp**  
Khoảng 6–7 triệu năm trước.

**Bước 2 – Tự kiểm**  
- Điểm có thể sai: Con số này có thể thay đổi tùy nghiên cứu, một số nguồn nói 5–7 triệu năm, số khác nói 7–8 triệu năm.  
- Cần nói rõ đây là thời điểm tổ tiên chung cuối cùng của người và tinh tinh, không phải tách từ tinh tinh hiện đại.  
- Có thể làm tròn khoảng 7 triệu năm để đơn giản.

**Bước 3 – Cuối cùng**  
Dựa trên các bằng chứng di truyền và hóa thạch, loài người tách nhánh từ tổ tiên chung cuối cùng với tinh tinh vào khoảng **6–8 triệu năm trước**, trong đó con số thường được chấp nhận rộng rãi là khoảng **7 triệu năm**.","cuối cùng với tinh tinh vào khoảng **6–8 triệu năm trước**, trong đó con số thường được chấp nhận rộng rãi là khoảng **7 triệu năm**.",deepseek,deepseek-chat
17,Ngân hàng trung ương lâu đời nhất thế giới?,Sveriges Riksbank,"Ngân hàng trung ương lâu đời nhất thế giới được công nhận là Sveriges Riksbank của Thụy Điển, được thành lập năm 1668.","**Bước 1 — Nháp:**
Ngân hàng trung ương lâu đời nhất thế giới là Sveriges Riksbank (Ngân hàng Thụy Điển), thành lập năm 1668.

**Bước 2 — Tự kiểm:**
- Có thể nhầm với Ngân hàng Anh (1694) hoặc một số tổ chức khác.
- Cần xác định rõ ""ngân hàng trung ương"" theo định nghĩa hiện đại hay chỉ là ngân hàng phát hành tiền đầu tiên.
- Sveriges Riksbank thường được công nhận là ngân hàng trung ương lâu đời nhất vẫn đang hoạt động.

**Bước 3 — Cuối cùng:**
Sveriges Riksbank (Ngân hàng Thụy Điển) là ngân hàng trung ương lâu đời nhất thế giới còn hoạt động, thành lập năm 1668.","Cuối cùng:**
Sveriges Riksbank (Ngân hàng Thụy Điển) là ngân hàng trung ương lâu đời nhất thế giới còn hoạt động, thành lập năm 1668.",deepseek,deepseek-chat
18,RFC đầu tiên của Internet là năm nào?,1969,RFC đầu tiên (RFC 1) được xuất bản vào ngày 7 tháng 4 năm 1969.,"**Bước 1 — Nháp**  
RFC 1 được xuất bản vào tháng 4 năm 1969.

**Bước 2 — Tự kiểm**  
- Có thể nhầm với sự kiện khác (ARPANET bắt đầu năm 1969, RFC 1 cũng trong năm đó).  
- Cần xác nhận: RFC 1 có tiêu đề ""Host Software"", tác giả Steve Crocker, phát hành ngày 7 tháng 4 năm 1969.  
- Không có điểm sai rõ ràng, nhưng cần ghi rõ ngày tháng để chính xác hơn.

**Bước 3 — Cuối cùng**  
RFC đầu tiên (RFC 1) được xuất bản vào ngày 7 tháng 4 năm 1969.","Cuối cùng**  
RFC đầu tiên (RFC 1) được xuất bản vào ngày 7 tháng 4 năm 1969.",deepseek,deepseek-chat
19,Protein gấp nếp sai gây bệnh gì nổi bật?,Prion / Creutzfeldt-Jakob,"Protein gấp nếp sai gây ra các bệnh thoái hóa thần kinh nổi bật như bệnh Alzheimer, bệnh Parkinson và bệnh bò điên (BSE).","**Bước 1 — Nháp:**
Bệnh Creutzfeldt-Jakob (bệnh bò điên ở người) và bệnh Alzheimer.

**Bước 2 — Tự kiểm:**
- ""Protein gấp nếp sai"" là nguyên nhân của nhóm bệnh ""proteinopathies"", chủ yếu là các bệnh thoái hóa thần kinh.
- Bệnh Creutzfeldt-Jakob (và các bệnh prion khác) là ví dụ điển hình nhất vì nguyên nhân trực tiếp là prion - một dạng protein gấp nếp sai truyền nhiễm.
- Bệnh Alzheimer cũng liên quan đến protein gấp nếp sai (protein amyloid-beta và tau), rất phổ biến.
- Có thể thiếu bệnh Parkinson (protein alpha-synuclein), Huntington, ALS.
- Câu hỏi hỏi ""nổi bật"" nên có lẽ cần nêu bệnh prion (vì tính chất đặc trưng) và Alzheimer (vì phổ biến).

**Bước 3 — Cuối cùng:**
Các bệnh nổi bật do protein gấp nếp sai gây ra bao gồm:
1. **Các bệnh prion** (ví dụ: bệnh Creutzfeldt-Jakob, bò điên) - đây là nhóm bệnh mà bản thân protein gấp nếp sai (prion) trực tiếp gây bệnh và có khả năng truyền nhiễm.
2. **Bệnh Alzheimer** - liên quan đến sự tích tụ protein amyloid-beta và tau gấp nếp sai.
3. **Bệnh Parkinson** - liên quan đến protein alpha-synuclein.
4. **Bệnh Huntington** và **xơ cứng teo cơ một bên (ALS)**.

Trong đó, bệnh prion thường được xem là ví dụ điển hình và nổi bật nhất cho cơ chế bệnh sinh trực tiếp từ protein gấp nếp sai.","Cuối cùng:**
Các bệnh nổi bật do protein gấp nếp sai gây ra bao gồm:
1. **Các bệnh prion** (ví dụ: bệnh Creutzfeldt-Jakob, bò điên) - đây là nhóm bệnh mà bản thân protein gấp nếp sai (prion) trực tiếp gây bệnh và có khả năng truyền nhiễm.
2. **Bệnh Alzheimer** - liên quan đến sự tích tụ protein amyloid-beta và tau gấp nếp sai.
3. **Bệnh Parkinson** - liên quan đến protein alpha-synuclein.
4. **Bệnh Huntington** và **xơ cứng teo cơ một bên (ALS)**.

Trong đó, bệnh prion thường được xem là ví dụ điển hình và nổi bật nhất cho cơ chế bệnh sinh trực tiếp từ protein gấp nếp sai.",deepseek,deepseek-chat
20,Hệ mã hóa ECC dùng trên Bitcoin?,secp256k1,Có. Bitcoin sử dụng đường cong elliptic secp256k1 và thuật toán chữ ký số ECDSA (Elliptic Curve Digital Signature Algorithm) để tạo và xác minh chữ ký giao dịch.,"**Bước 1 — Nháp:**
Secp256k1.

**Bước 2 — Tự kiểm:**
- Có thể nhầm với các hệ ECC khác (như secp256r1/NIST P-256).
- Cần xác nhận lại: Bitcoin dùng đường cong secp256k1 cho chữ ký số (ECDSA) và địa chỉ.
- Kiểm tra: Đúng, tài liệu Bitcoin xác nhận dùng secp256k1 với phương trình \( y^2 = x^3 + 7 \) trên trường hữu hạn nguyên tố.

**Bước 3 — Cuối cùng:**
Bitcoin sử dụng hệ mã hóa đường cong elliptic **secp256k1** để tạo khóa và ký giao dịch.","Cuối cùng:**
Bitcoin sử dụng hệ mã hóa đường cong elliptic **secp256k1** để tạo khóa và ký giao dịch.",deepseek,deepseek-chat
