idx,question,gold,direct_answer,direct_correct,direct_uncertain,direct_hallucination,selfcrit_final,selfcrit_correct,selfcrit_uncertain,selfcrit_hallucination
11,Householder transformation thuộc ngành nào?,Đại số tuyến tính,"Householder transformation thuộc ngành toán học, cụ thể là đại số tuyến tính và tính toán số học.",1,0,0,"Cuối cùng:  
Householder transformation là một kỹ thuật trong ngành toán học, cụ thể thuộc lĩnh vực đại số tuyến tính. Nó là một loại biến đổi trực giao dùng để biến đổi ma trận thành dạng đơn giản hơn, ví dụ như ma trận tam giác, thường được sử dụng trong các thuật toán xử lý số và tính toán khoa học máy tính.",1,0,0
12,Mức CO2 khí quyển trước thời kỳ công nghiệp khoảng bao nhiêu ppm?,~280 ppm,Mức CO2 khí quyển trước thời kỳ công nghiệp khoảng 280 ppm.,0,0,1,"Cuối cùng:  
Mức CO2 khí quyển trước thời kỳ công nghiệp thường được ghi nhận khoảng 280 ppm, dựa trên dữ liệu từ các lõi băng cho thấy nồng độ CO2 ổn định trong khoảng 275-285 ppm trong hàng nghìn năm trước khi công nghiệp phát triển. Đây là con số được chấp nhận rộng rãi trong khoa học khí hậu.",0,0,1
13,Số lượng nhiễm sắc thể người Neanderthal?,46,"Người Neanderthal có 46 nhiễm sắc thể, giống với người hiện đại.",1,0,0,cuối cùng là người Neanderthal có 46 nhiễm sắc thể.,1,0,0
14,Thành phần chính của khí quyển sao Kim?,CO₂,"Thành phần chính của khí quyển sao Kim là khí CO2 (carbon dioxide), chiếm khoảng 96-97%.",0,0,1,"cuối cùng:  
Khí quyển sao Kim chủ yếu bao gồm khoảng 96-97% khí CO₂ (carbon dioxide). Ngoài ra còn có khoảng 3-4% khí N₂ (nitơ) và một lượng nhỏ các khí khác như SO₂ (lưu huỳnh dioxide), argon, nước hơi và các hợp chất sulfur khác. Vì vậy, thành phần chính của khí quyển sao Kim là CO₂.",1,0,0
15,Bằng chứng trực tiếp đầu tiên về Big Bang là gì?,Vi bức xạ nền (CMB),"Bằng chứng trực tiếp đầu tiên về Big Bang là bức xạ nền vi sóng vũ trụ (Cosmic Microwave Background - CMB), được phát hiện vào năm 1965 bởi Arno Penzias và Robert Wilson.",0,0,1,"Cuối cùng:  
Bằng chứng trực tiếp đầu tiên về Big Bang là quan sát sự giãn nở của vũ trụ qua hiện tượng dịch chuyển đỏ của các thiên hà (phát hiện bởi Edwin Hubble vào những năm 1920). Bức xạ nền vi sóng vũ trụ (CMB), được phát hiện sau đó vào năm 1965, là một bằng chứng mạnh mẽ và trực tiếp hơn nữa, xác nhận lý thuyết Big Bang. Nếu nói về bằng chứng vật lý thu thập lần đầu tiên, thì dịch chuyển đỏ là dấu hiệu đầu tiên cho thấy vũ trụ đang giãn nở từ một trạng thái nóng và đặc — nền tảng cho mô hình Big Bang.",0,0,1
16,Loài người tách khỏi tinh tinh khoảng bao nhiêu triệu năm?,6–7 triệu năm,Loài người tách khỏi tinh tinh khoảng 5-7 triệu năm trước.,0,0,1,"cuối cùng sống cách đây khoảng 5 đến 7 triệu năm trước. Đây là con số được chấp nhận rộng rãi trong các nghiên cứu hiện đại về tiến hóa dựa trên phân tích ADN và hóa thạch. Tuy nhiên, có sự không chắc chắn nhất định do phương pháp và dữ liệu khác nhau, nên khoảng thời gian này có thể dao động nhẹ trong khoảng 5 đến 10 triệu năm.",0,1,0
17,Ngân hàng trung ương lâu đời nhất thế giới?,Sveriges Riksbank,"Ngân hàng trung ương lâu đời nhất thế giới là Ngân hàng Thụy Điển (Sveriges Riksbank), thành lập năm 1668.",1,0,0,"cuối cùng:  
Ngân hàng trung ương lâu đời nhất thế giới là Ngân hàng Thụy Điển (Sveriges Riksbank), thành lập vào năm 1668. Đây là ngân hàng trung ương đầu tiên trên thế giới vẫn còn hoạt động cho đến ngày nay.",1,0,0
18,RFC đầu tiên của Internet là năm nào?,1969,RFC đầu tiên của Internet được xuất bản năm 1969.,1,0,0,"Cuối cùng:  
RFC đầu tiên, RFC 1, được xuất bản vào tháng 4 năm 1969. Đây được xem là tài liệu RFC đầu tiên và năm đó cũng là năm bắt đầu phát triển mạng ARPANET, tiền thân của Internet. Vì vậy, câu trả lời chính xác là năm 1969.",1,0,0
19,Protein gấp nếp sai gây bệnh gì nổi bật?,Prion / Creutzfeldt-Jakob,"Protein gấp nếp sai nổi bật gây các bệnh thoái hóa thần kinh như Alzheimer, Parkinson và bệnh prion.",0,0,1,"Cuối cùng:  
Protein gấp nếp sai thường gây bệnh nhóm prion, nổi bật nhất là bệnh Creutzfeldt-Jakob ở người và bệnh bò điên (bệnh biến đổi dạng bò) ở động vật. Ngoài ra, có một số bệnh thần kinh thoái hóa khác cũng liên quan đến protein gấp nếp sai như Alzheimer và Parkinson, nhưng cơ chế không hoàn toàn do prion. Do vậy, bệnh prion là bệnh nổi bật nhất liên quan trực tiếp đến protein gấp nếp sai.",0,0,1
20,Hệ mã hóa ECC dùng trên Bitcoin?,secp256k1,"Hệ mã hóa ECC dùng trên Bitcoin là secp256k1, một chuẩn đường cong elliptic được sử dụng để tạo và xác minh khóa công khai.",1,0,0,"Cuối cùng:  
Hệ mã hóa ECC (Elliptic Curve Cryptography) được sử dụng trên Bitcoin là curve secp256k1. Đây là một loại Elliptic Curve đặc biệt không tuân theo chuẩn NIST phổ biến mà sử dụng tham số được chọn theo tiêu chuẩn Koblitz, với tính chất giúp tăng tốc độ tính toán so với các curve khác. secp256k1 được dùng để tạo khóa riêng (private key) và khóa công khai (public key) trong quá trình tạo địa chỉ và ký giao dịch trên Bitcoin.  

Tóm lại: Hệ mã hóa ECC dùng trên Bitcoin là curve secp256k1.",1,0,0
21,Nhà toán học phát minh Fourier transform?,Joseph Fourier,Nhà toán học Joseph Fourier là người phát minh ra phép biến đổi Fourier.,1,0,0,"Cuối cùng:  
Phép biến đổi Fourier được đặt theo tên Joseph Fourier, nhà toán học người Pháp, người đầu tiên nghiên cứu và phát triển ý tưởng về phân tích sóng và hàm số thành chuỗi Fourier vào đầu thế kỷ 19. Tuy nhiên, khái niệm biến đổi Fourier dưới dạng tích phân (Fourier transform) như ta biết ngày nay được phát triển dần qua sự đóng góp của nhiều nhà toán học sau đó. Vì vậy, Joseph Fourier là người tiên phong quan trọng và cơ bản trong lĩnh vực này, nhưng không phải là người duy nhất ""phát minh"" biến đổi Fourier dạng tích phân hiện đại.

Nếu cần một câu trả lời ngắn gọn:  
Joseph Fourier là người tiên phong phát triển lý thuyết nền tảng cho phép biến đổi Fourier.",1,0,0
22,Axit amin bắt đầu phiên mã ở vi khuẩn?,Formyl-methionine,"Không chắc. Phiên mã trong vi khuẩn bắt đầu với codon khởi đầu AUG, mã hóa cho axit amin methionine (ở vi khuẩn là formyl-methionine), nhưng phiên mã là quá trình tạo ARN từ ADN, không phải giai đoạn ""bắt đầu"" bởi axit amin.",1,1,0,"cuối cùng:  
Câu hỏi có thể nhầm lẫn thuật ngữ. Quá trình phiên mã là tổng hợp mRNA, không có axit amin tham gia trực tiếp. Axit amin đầu tiên xuất hiện khi bắt đầu **phiên dịch** (dịch mã) ở vi khuẩn là formyl-methionine (fMet). Nếu câu hỏi đúng là: ""Axit amin bắt đầu phiên dịch ở vi khuẩn là gì?"", thì đáp án là formyl-methionine (fMet). Nếu đúng là ""phiên mã"", thì câu hỏi không chính xác vì axit amin không tham gia phiên mã.",1,1,0
23,Nguyên tố nào có điểm nóng chảy cao nhất?,Tungsten,"Nguyên tố có điểm nóng chảy cao nhất là tungsten (W), với điểm nóng chảy khoảng 3422°C.",1,0,0,"Cuối cùng:  
Nguyên tố có điểm nóng chảy cao nhất trong bảng tuần hoàn là tungsten (W), với điểm nóng chảy khoảng 3422°C (3695 K). Carbon ở dạng graphite có điểm nóng chảy cao hơn nhưng dưới áp suất tiêu chuẩn, graphite không nóng chảy mà chuyển trực tiếp từ rắn thành khí (sublimation) ở khoảng 3642°C, vì vậy tungsten vẫn được coi là nguyên tố có điểm nóng chảy cao nhất thực tế.  

Nếu xét theo điều kiện và trạng thái khác (như kim loại hay phi kim), câu trả lời có thể khác, nhưng trong điều kiện tiêu chuẩn, tungsten là nguyên tố có điểm nóng chảy cao nhất.",1,1,0
24,CPU đầu tiên của Intel?,Intel 4004,"CPU đầu tiên của Intel là Intel 4004, ra mắt vào năm 1971.",1,0,0,"cuối cùng:  
CPU đầu tiên của Intel là Intel 4004, ra mắt năm 1971. Đây là vi xử lý (microprocessor) đầu tiên do Intel phát triển, đánh dấu bước đầu tiên trong lịch sử của bộ vi xử lý hiện đại. Nếu câu hỏi đề cập đến CPU nói chung của Intel, thì Intel 4004 là câu trả lời chính xác và phổ biến nhất.",1,0,0
25,Hằng số Hubble xấp xỉ (km/s/Mpc)?,~70,Hằng số Hubble xấp xỉ 70 km/s/Mpc.,0,0,1,"cuối cùng:**
Hằng số Hubble hiện được ước tính xấp xỉ trong khoảng 67 đến 74 km/s/Mpc, với giá trị thường dùng làm tham chiếu là khoảng 70 km/s/Mpc. Giá trị chính xác vẫn còn đang được nghiên cứu và có thể thay đổi theo phương pháp đo.",0,1,0
26,Lý thuyết “Gödel incompleteness” nói về điều gì?,Hệ tiên đề không thể đầy đủ và nhất quán,"Lý thuyết ""Gödel incompleteness"" nói rằng trong bất kỳ hệ thống hình thức đủ mạnh để biểu diễn số học, luôn tồn tại những mệnh đề không thể được chứng minh đúng hoặc sai trong hệ thống đó, nghĩa là hệ thống không thể hoàn chỉnh và nhất quán cùng lúc.",0,0,1,"cuối cùng:  
Lý thuyết “Gödel incompleteness” (các định lý bất toàn của Gödel) nói rằng trong bất kỳ hệ tiên đề hình thức nào đủ mạnh để biểu diễn số học (như hệ Peano Arithmetic), luôn tồn tại các mệnh đề mà không thể được chứng minh là đúng hoặc sai bên trong hệ đó (tức hệ không thể đầy đủ). Cụ thể, định lý đầu tiên của Gödel cho biết hệ như vậy không thể đồng thời vừa đầy đủ (đủ khả năng chứng minh mọi chân lý) vừa không mâu thuẫn. Định lý thứ hai nâng cấp thêm rằng hệ cũng không thể chứng minh tính không mâu thuẫn của chính nó. Điều này có nghĩa là có những giới hạn cơ bản trong việc xây dựng các hệ hình thức hoàn chỉnh để làm nền tảng cho toán học.  

Nếu có sai sót hoặc cần thêm chi tiết, tôi có thể bổ sung.",0,1,0
27,Đơn vị đo entropi trong thông tin?,Bit,Đơn vị đo entropi trong thông tin thường là bit.,1,0,0,"Cuối cùng:  
Đơn vị đo entropi trong thông tin phổ biến nhất là **bit** (khi dùng log cơ số 2). Ngoài ra còn có thể dùng **nat** (log cơ số e) hoặc **ban** (log cơ số 10) tùy cách chọn cơ số trong hàm logarit. Tuy nhiên, trong hầu hết các bài toán lý thuyết thông tin, bit là đơn vị tiêu chuẩn.",1,1,0
28,Số nguyên tố lớn nhất đã biết thuộc dạng gì?,Số Mersenne,"Số nguyên tố lớn nhất đã biết thuộc dạng số nguyên tố Mersenne, tức là có dạng 2^p - 1, trong đó p là số nguyên tố.",0,0,1,"Cuối cùng:**

Số nguyên tố lớn nhất đã biết hiện nay là một số nguyên tố Mersenne, có dạng \(2^p - 1\) với \(p\) cũng là số nguyên tố. Số này được phát hiện nhờ dự án GIMPS (Great Internet Mersenne Prime Search). Tuy kích thước và biểu thức dạng này là chính xác, nhưng trong thực tế, có thể tồn tại các dạng số nguyên tố rất lớn khác mà chưa được tìm thấy.

Nếu cần thông tin cụ thể hơn, số nguyên tố Mersenne lớn nhất đã biết tính đến giữa năm 2024 là số với số mũ \(p = 90,259,211\), tức \(2^{90,259,211} - 1\), chứa hơn 27 triệu chữ số thập phân.",0,1,0
29,Tập đoàn nào sản xuất chip M1?,Apple,Tập đoàn Apple sản xuất chip M1.,1,0,0,"Cuối cùng:  
Chip M1 được thiết kế bởi Apple nhưng được sản xuất (đúc) bởi công ty Taiwan Semiconductor Manufacturing Company (TSMC). Vì vậy, Apple là công ty tạo ra chip M1, còn việc sản xuất thực tế là do TSMC đảm nhiệm.",1,0,0
30,Lần đầu nhân loại chụp ảnh lỗ đen năm nào?,2019,Lần đầu nhân loại chụp ảnh lỗ đen là vào năm 2019.,1,0,0,"Cuối cùng:  
Lần đầu nhân loại chụp được ảnh trực tiếp của một lỗ đen là vào năm 2019, do dự án Event Horizon Telescope công bố. Ảnh đầu tiên là của lỗ đen trong thiên hà M87. Đây là ảnh đầu tiên được chụp trực tiếp, không phải mô phỏng. Tôi chắc chắn về thông tin này.",1,0,0
31,Bằng chứng hóa thạch lâu đời nhất khoảng bao nhiêu năm?,~3.5 tỷ năm,"Bằng chứng hóa thạch lâu đời nhất có niên đại khoảng 3,5 đến 3,7 tỷ năm.",0,0,1,"Cuối cùng:  
Bằng chứng hóa thạch lâu đời nhất hiện được công nhận là các dấu vết vi sinh vật vi khuẩn màu tím (stromatolite) có tuổi khoảng 3,5 tỷ năm, được tìm thấy ở các vùng đá cổ như Tây Úc. Tuy nhiên, vẫn có tranh cãi và nghiên cứu có thể cập nhật thêm trong tương lai.",0,1,0
32,Nhiên liệu chính của mặt trời?,Hydro,"Nhiên liệu chính của Mặt Trời là hydro, thông qua quá trình tổng hợp hạt nhân chuyển hydro thành heli.",1,0,0,"Cuối cùng:  
Nhiên liệu chính của mặt trời là hydro. Qua quá trình tổng hợp hạt nhân (nuclear fusion) trong lõi, các nguyên tử hydro kết hợp với nhau tạo thành heli, giải phóng năng lượng lớn cung cấp nhiệt và ánh sáng cho mặt trời. Đây là nguồn năng lượng chính duy trì hoạt động của mặt trời.",1,0,0
33,Quốc gia đầu tiên hợp pháp hóa Bitcoin làm tiền tệ?,El Salvador,Quốc gia đầu tiên hợp pháp hóa Bitcoin làm tiền tệ là El Salvador vào năm 2021.,1,0,0,"Cuối cùng:**  
Quốc gia đầu tiên hợp pháp hóa Bitcoin làm tiền tệ chính thức là El Salvador, với đạo luật được thông qua vào tháng 6 năm 2021, công nhận Bitcoin là đồng tiền hợp pháp bên cạnh đồng đô la Mỹ. Thông tin này là chính xác và được công nhận rộng rãi.",1,0,0
34,Ngôn ngữ Haskell đặt theo tên ai?,Haskell Curry,Ngôn ngữ Haskell được đặt theo tên nhà toán học và nhà logic học người Mỹ Haskell Curry.,1,0,0,"Cuối cùng:  
Ngôn ngữ lập trình Haskell được đặt theo tên nhà toán học và nhà logic học Haskell Curry. Ông nổi tiếng với những đóng góp trong lý thuyết logic và lý thuyết hàm, đặc biệt là các khái niệm trừu tượng như Curry-Howard correspondence. Đây là nguồn gốc tên gọi chính xác của ngôn ngữ Haskell.",1,0,0
35,Dịch vụ DNS hoạt động trên cổng UDP nào?,53,Dịch vụ DNS hoạt động chủ yếu trên cổng UDP 53.,1,0,0,"Cuối cùng:  
Dịch vụ DNS chủ yếu hoạt động trên cổng UDP 53 để truy vấn tên miền nhanh và hiệu quả. Tuy nhiên, trong một số trường hợp như truy vấn vùng lớn hoặc truyền dữ liệu phức tạp, DNS có thể sử dụng TCP cũng trên cổng 53 để đảm bảo độ tin cậy. Vì vậy, chính xác là DNS sử dụng cổng 53 cho cả UDP và TCP, nhưng UDP 53 là giao thức thường gặp nhất cho truy vấn DNS.",1,1,0
36,NLP viết tắt của gì?,Natural Language Processing,"NLP viết tắt của ""Natural Language Processing"" (Xử lý ngôn ngữ tự nhiên).",1,0,0,"Cuối cùng:  
NLP là viết tắt của ""Natural Language Processing"", nghĩa là ""Xử lý ngôn ngữ tự nhiên"" trong lĩnh vực công nghệ và trí tuệ nhân tạo. Nếu không rõ bối cảnh, có thể nhầm với ""Neuro-Linguistic Programming"" (Lập trình ngôn ngữ tư duy). Tuy nhiên, trong bối cảnh phổ biến về máy tính và AI, thường là ""Natural Language Processing"".",1,1,0
37,Không gian Hilbert thuộc nhánh nào?,Giải tích hàm,"Không gian Hilbert thuộc nhánh Toán học, cụ thể là giải tích và đại số tuyến tính.",0,0,1,"cuối cùng:  
Không gian Hilbert thuộc nhánh Giải tích, cụ thể hơn là giải tích chức năng. Đây là một khái niệm trong toán học dùng để nghiên cứu các không gian vectơ vô hạn chiều có tích vô hướng hoàn chỉnh, rất quan trọng trong phân tích toán học và vật lý toán học.",0,0,1
38,Hệ mã hóa RSA dựa trên vấn đề toán gì?,Phân tích thừa số số nguyên lớn,Hệ mã hóa RSA dựa trên vấn đề phân tích số nguyên thành các thừa số nguyên tố.,0,0,1,"Cuối cùng:  
Hệ mã hóa RSA dựa trên vấn đề toán học là bài toán phân tích một số nguyên lớn thành các thừa số nguyên tố của nó (gọi là phân tích thừa số nguyên). Sự khó khăn trong việc phân tích số nguyên lớn thành các thừa số nguyên tố chính là cơ sở đảm bảo tính an toàn của hệ RSA. Nếu có thuật toán phân tích thừa số hiệu quả, thì bảo mật RSA sẽ bị phá vỡ.",0,0,1
39,Cá thể sống đa bào cổ nhất là gì?,Porifera,"Cá thể sống đa bào cổ nhất được biết đến là loài cổ sinh vật Dickinsonia, xuất hiện khoảng 558 triệu năm trước trong kỷ Tuyết diện.",0,0,1,"Cuối cùng:  
Cá thể sống đa bào cổ nhất mà khoa học biết đến hiện nay là các sinh vật thuộc kỷ Ediacara, khoảng 600 triệu năm trước, trong đó loài Dickinsonia được xem là một trong những sinh vật đa bào cổ xưa nhất. Tuy nhiên, vẫn còn tranh cãi và nghiên cứu về các dạng đa bào cổ hơn hay chính xác phân loại của chúng, do đó không thể khẳng định tuyệt đối.",0,0,1
40,“Red shift” trong thiên văn nghĩa là gì?,Giãn nở vũ trụ / vật thể rời xa,"""Red shift"" trong thiên văn là hiện tượng ánh sáng của các thiên thể bị dịch chuyển về bước sóng dài hơn (màu đỏ hơn) khi chúng chuyển động ra xa người quan sát, cho thấy vũ trụ đang giãn nở.",0,0,1,"cuối cùng:  
Trong thiên văn học, ""red shift"" là hiện tượng ánh sáng được phát ra từ các vật thể thiên văn xa xôi xuất hiện dịch chuyển về phía bước sóng dài hơn, tức là sang màu đỏ hơn so với bình thường. Hiện tượng này chủ yếu xảy ra khi các thiên thể đang di chuyển ra xa người quan sát do hiệu ứng Doppler, hoặc do sự giãn nở của không gian trong vũ trụ (cosmological red shift). Red shift là bằng chứng quan trọng cho thấy vũ trụ đang mở rộng và cho phép các nhà khoa học ước tính tốc độ và khoảng cách của các thiên thể xa. Ngoài ra, còn có dạng red shift do trường hấp dẫn (gravitational red shift), gây ra bởi sự thay đổi trong trường hấp dẫn của các vật thể cực mạnh.",0,0,1
41,Ai phát minh Gradient Descent?,Cauchy,"Gradient Descent không được phát minh bởi một người duy nhất; nó là một phương pháp tối ưu hóa được phát triển dần trong toán học và khoa học máy tính từ thế kỷ 19 và 20, với các đóng góp quan trọng từ nhiều nhà toán học như Augustin-Louis Cauchy.",1,0,0,"cuối cùng:  
Gradient Descent là một phương pháp tối ưu hóa cổ điển, nguồn gốc gắn liền với các công trình trong lĩnh vực toán học từ thế kỷ 19 và 20. Không có cá nhân nào được coi là “người phát minh cụ thể” Gradient Descent; thay vào đó, nó là kết quả của sự phát triển dần dần các thuật toán tối ưu hóa bởi nhiều nhà toán học. Phương pháp này dựa trên ý tưởng về đạo hàm và phép giảm dần hàm số, và đã được áp dụng rộng rãi trong nhiều lĩnh vực, đặc biệt là học máy ngày nay. Nếu cần nói tên, một số nhà toán học nổi bật trong lĩnh vực tối ưu hóa có thể kể đến như Augustin-Louis Cauchy, người từng giới thiệu thuật toán tương tự vào năm 1847. Tuy nhiên, thuật ngữ “Gradient Descent” và ứng dụng của nó trong học máy hiện đại là sản phẩm của nhiều nghiên cứu sau này.",1,1,0
42,Nước đầu tiên phóng vệ tinh nhân tạo?,Liên Xô,Nước đầu tiên phóng vệ tinh nhân tạo là Liên Xô (Liên bang Xô viết) với vệ tinh Sputnik 1 vào năm 1957.,1,0,0,"Cuối cùng:  
Nước đầu tiên phóng vệ tinh nhân tạo là Liên Xô với vệ tinh Sputnik 1, được phóng vào ngày 4 tháng 10 năm 1957. Đây là sự kiện mở đầu cho kỷ nguyên chinh phục không gian nhân tạo. Tôi chắc chắn về thông tin này vì nó là sự kiện nổi tiếng và được ghi chép kỹ trong lịch sử khoa học không gian.",1,0,0
43,Nhà toán học đứng sau lý thuyết Turing completeness?,Alan Turing,Nhà toán học đứng sau lý thuyết Turing completeness là Alan Turing.,1,0,0,"Cuối cùng:  
Đáp án chính xác là Alan Turing. Ông là người sáng lập lý thuyết Turing completeness, dựa trên mô hình tính toán của máy Turing do ông phát minh. Đây là nền tảng của lý thuyết tính toán hiện đại và xác định khả năng tính toán của các hệ thống.",1,0,0
44,Đồng vị phóng xạ dùng trong PET scan?,Fluorine-18,Đồng vị phóng xạ thường dùng trong PET scan là Fluor-18 (F-18).,0,0,1,"Cuối cùng:  
Đồng vị phóng xạ phổ biến nhất dùng trong PET scan là Fluor-18 (¹⁸F), thường được gắn vào glucose như FDG (fluorodeoxyglucose). Ngoài ra, PET scan còn sử dụng các đồng vị khác như Carbon-11, Nitrogen-13 và Oxygen-15 tùy mục đích chẩn đoán. Fluor-18 được ưu tiên vì thời gian bán rã dài hơn (~110 phút) so với các đồng vị khác, giúp thuận tiện trong vận chuyển và sử dụng.",0,0,1
